Q2 (GeV);x;sigma (mb);sigma error (mb)
8;6.42807e-05;8.27527e-08;1.90119e-12
8;7.0548e-05;8.02715e-08;1.84834e-12
8;7.74264e-05;7.78573e-08;1.79687e-12
8;8.49753e-05;7.55089e-08;1.74597e-12
8;9.32603e-05;7.32248e-08;1.695e-12
8;0.000102353;7.10036e-08;1.64416e-12
8;0.000112332;6.88439e-08;1.5933e-12
8;0.000123285;6.67444e-08;1.54285e-12
8;0.000135305;6.47036e-08;1.49345e-12
8;0.000148497;6.27202e-08;1.44572e-12
8;0.000162975;6.07929e-08;1.40043e-12
8;0.000178865;5.89203e-08;1.35844e-12
8;0.000196304;5.71012e-08;1.32104e-12
8;0.000215443;5.53343e-08;1.28979e-12
8;0.000236449;5.36183e-08;1.2644e-12
8;0.000259502;5.1952e-08;1.23884e-12
8;0.000284804;5.0334e-08;1.20429e-12
8;0.000312572;4.87632e-08;1.16251e-12
8;0.000343047;4.72384e-08;1.11506e-12
8;0.000376494;4.57584e-08;1.06255e-12
8;0.000413201;4.43222e-08;1.05096e-12
8;0.000453488;4.29286e-08;1.02389e-12
8;0.000497702;4.15762e-08;9.38144e-13
8;0.000546228;4.02642e-08;8.98789e-13
8;0.000599484;3.89917e-08;9.07864e-13
8;0.000657933;3.77572e-08;8.79365e-13
8;0.000722081;3.65597e-08;7.99418e-13
8;0.000792483;3.53986e-08;8.35055e-13
8;0.000869749;3.42728e-08;8.14491e-13
8;0.000954548;3.31811e-08;7.65643e-13
8;0.00104762;3.21228e-08;7.02861e-13
8;0.00114976;3.10968e-08;6.73725e-13
8;0.00126186;3.01024e-08;6.8799e-13
8;0.00138489;2.91384e-08;6.79069e-13
8;0.00151991;2.82041e-08;6.69636e-13
8;0.0016681;2.72986e-08;6.44515e-13
8;0.00183074;2.64212e-08;6.04398e-13
8;0.00200923;2.5571e-08;5.69844e-13
8;0.00220513;2.47473e-08;5.49668e-13
8;0.00242013;2.39492e-08;5.30769e-13
8;0.00265609;2.31762e-08;5.16625e-13
8;0.00291505;2.24273e-08;5.12302e-13
8;0.00319927;2.17019e-08;5.02198e-13
8;0.00351119;2.09993e-08;4.78438e-13
8;0.00385353;2.03187e-08;4.32964e-13
8;0.00422924;1.96596e-08;4.21835e-13
8;0.00464159;1.90214e-08;4.03616e-13
8;0.00509414;1.84034e-08;3.99878e-13
8;0.00559081;1.7805e-08;3.94498e-13
8;0.00613591;1.72256e-08;3.85889e-13
8;0.00673415;1.66646e-08;3.73621e-13
8;0.00739072;1.61215e-08;3.57427e-13
8;0.00811131;1.55957e-08;3.41996e-13
8;0.00890215;1.50867e-08;3.28523e-13
8;0.0097701;1.4594e-08;3.14194e-13
8;0.0107227;1.4117e-08;3.00041e-13
8;0.0117681;1.36554e-08;2.93139e-13
8;0.0129155;1.32086e-08;2.87901e-13
8;0.0141747;1.27761e-08;2.8131e-13
8;0.0155568;1.23575e-08;2.73464e-13
8;0.0170735;1.19524e-08;2.60719e-13
8;0.0187382;1.15604e-08;2.50781e-13
8;0.0205651;1.11811e-08;2.40133e-13
8;0.0225702;1.0814e-08;2.32192e-13
8;0.0247708;1.04588e-08;2.24667e-13
8;0.0271859;1.01151e-08;2.17001e-13
8;0.0298365;9.78258e-09;2.09799e-13
8;0.0327455;9.46082e-09;2.0642e-13
8;0.0359381;9.1495e-09;2.03061e-13
8;0.0394421;8.8483e-09;1.87207e-13
8;0.0432876;8.55689e-09;1.90305e-13
8;0.0475081;8.27494e-09;1.82705e-13
8;0.0521401;8.00227e-09;1.82092e-13
8;0.0572237;7.73842e-09;1.74475e-13
8;0.0628029;7.48314e-09;1.66887e-13
8;0.0689261;7.23626e-09;1.57829e-13
8;0.0756463;6.99744e-09;1.45749e-13
8;0.0830218;6.76642e-09;1.40554e-13
8;0.0911163;6.54297e-09;1.42794e-13
8;0.1;6.32682e-09;1.37027e-13
10;1e-05;1.49501e-07;3.42748e-12
10;1.0975e-05;1.45289e-07;3.17061e-12
10;1.2045e-05;1.41176e-07;2.99464e-12
10;1.32194e-05;1.37163e-07;2.91455e-12
10;1.45083e-05;1.33247e-07;2.83009e-12
10;1.59228e-05;1.29428e-07;2.74817e-12
10;1.74753e-05;1.25702e-07;2.66859e-12
10;1.91791e-05;1.2207e-07;2.59105e-12
10;2.1049e-05;1.18529e-07;2.51547e-12
10;2.31013e-05;1.15077e-07;2.44135e-12
10;2.53536e-05;1.11714e-07;2.36972e-12
10;2.78256e-05;1.08437e-07;2.30014e-12
10;3.05386e-05;1.05245e-07;2.23238e-12
10;3.3516e-05;1.02136e-07;2.16655e-12
10;3.67838e-05;9.9109e-08;2.10141e-12
10;4.03702e-05;9.6162e-08;2.03837e-12
10;4.43062e-05;9.32933e-08;1.9891e-12
10;4.8626e-05;9.05015e-08;1.94283e-12
10;5.3367e-05;8.7785e-08;1.89989e-12
10;5.85702e-05;8.51422e-08;1.85566e-12
10;6.42807e-05;8.25714e-08;1.81019e-12
10;7.0548e-05;8.00713e-08;1.80808e-12
10;7.74264e-05;7.76402e-08;1.80012e-12
10;8.49753e-05;7.52766e-08;1.68257e-12
10;9.32603e-05;7.29785e-08;1.52901e-12
10;0.000102353;7.07451e-08;1.48143e-12
10;0.000112332;6.85747e-08;1.43597e-12
10;0.000123285;6.6466e-08;1.54709e-12
10;0.000135305;6.44169e-08;1.44491e-12
10;0.000148497;6.24266e-08;1.36564e-12
10;0.000162975;6.04934e-08;1.31568e-12
10;0.000178865;5.8616e-08;1.26515e-12
10;0.000196304;5.6793e-08;1.21744e-12
10;0.000215443;5.50231e-08;1.17403e-12
10;0.000236449;5.33048e-08;1.13138e-12
10;0.000259502;5.16369e-08;1.12314e-12
10;0.000284804;5.00183e-08;1.09651e-12
10;0.000312572;4.8447e-08;1.08856e-12
10;0.000343047;4.69228e-08;1.01809e-12
10;0.000376494;4.54439e-08;9.62152e-13
10;0.000413201;4.40092e-08;1.01574e-12
10;0.000453488;4.26173e-08;9.0198e-13
10;0.000497702;4.12673e-08;8.59825e-13
10;0.000546228;3.99581e-08;8.31352e-13
10;0.000599484;3.86885e-08;8.21631e-13
10;0.000657933;3.74572e-08;7.90467e-13
10;0.000722081;3.62637e-08;7.4767e-13
10;0.000792483;3.51065e-08;7.80334e-13
10;0.000869749;3.39847e-08;7.15812e-13
10;0.000954548;3.28974e-08;6.85604e-13
10;0.00104762;3.18435e-08;6.72325e-13
10;0.00114976;3.08222e-08;6.32454e-13
10;0.00126186;2.98324e-08;6.25603e-13
10;0.00138489;2.88733e-08;5.95258e-13
10;0.00151991;2.79438e-08;5.82359e-13
10;0.0016681;2.70435e-08;5.67227e-13
10;0.00183074;2.6171e-08;5.45382e-13
10;0.00200923;2.53259e-08;5.22833e-13
10;0.00220513;2.45073e-08;5.12554e-13
10;0.00242013;2.37142e-08;5.0583e-13
10;0.00265609;2.29463e-08;4.73111e-13
10;0.00291505;2.22024e-08;4.62674e-13
10;0.00319927;2.14821e-08;4.365e-13
10;0.00351119;2.07846e-08;3.98393e-13
10;0.00385353;2.01091e-08;4.078e-13
10;0.00422924;1.9455e-08;3.95823e-13
10;0.00464159;1.88219e-08;3.7942e-13
10;0.00509414;1.82086e-08;3.56611e-13
10;0.00559081;1.76151e-08;3.35152e-13
10;0.00613591;1.70405e-08;3.27889e-13
10;0.00673415;1.64841e-08;3.26151e-13
10;0.00739072;1.59457e-08;3.17511e-13
10;0.00811131;1.54245e-08;2.87231e-13
10;0.00890215;1.492e-08;2.80892e-13
10;0.0097701;1.44315e-08;2.76135e-13
10;0.0107227;1.39592e-08;2.80722e-13
10;0.0117681;1.35017e-08;2.87019e-13
10;0.0129155;1.30594e-08;2.98064e-13
10;0.0141747;1.2631e-08;2.86159e-13
10;0.0155568;1.22164e-08;2.75861e-13
10;0.0170735;1.18153e-08;2.66616e-13
10;0.0187382;1.14272e-08;2.6158e-13
10;0.0205651;1.10517e-08;2.62367e-13
10;0.0225702;1.06882e-08;2.42771e-13
10;0.0247708;1.03366e-08;2.31672e-13
10;0.0271859;9.99644e-09;2.23657e-13
10;0.0298365;9.66732e-09;2.15933e-13
10;0.0327455;9.34891e-09;2.08612e-13
10;0.0359381;9.04087e-09;2.01615e-13
10;0.0394421;8.74286e-09;1.949e-13
10;0.0432876;8.45458e-09;1.88451e-13
10;0.0475081;8.1757e-09;1.82255e-13
10;0.0521401;7.90593e-09;1.7626e-13
10;0.0572237;7.64497e-09;1.7045e-13
10;0.0628029;7.39255e-09;1.64827e-13
10;0.0689261;7.14838e-09;1.59398e-13
10;0.0756463;6.91221e-09;1.54181e-13
10;0.0830218;6.68378e-09;1.49217e-13
10;0.0911163;6.46283e-09;1.44563e-13
10;0.1;6.24913e-09;1.40274e-13
