Q2 (GeV);x;sigma (mb);sigma error (mb)
5;9.32603e-05;4.93288e-07;7.65124e-12
5;0.000102353;4.7843e-07;7.3732e-12
5;0.000112332;4.63979e-07;6.97445e-12
5;0.000123285;4.49926e-07;7.26445e-12
5;0.000135305;4.36263e-07;6.43715e-12
5;0.000148497;4.22979e-07;6.19555e-12
5;0.000162975;4.10066e-07;6.06369e-12
5;0.000178865;3.97519e-07;5.60058e-12
5;0.000196304;3.85324e-07;5.65845e-12
5;0.000215443;3.73476e-07;5.27344e-12
5;0.000236449;3.61965e-07;5.52042e-12
5;0.000259502;3.50789e-07;5.94425e-12
5;0.000284804;3.3993e-07;5.60154e-12
5;0.000312572;3.29384e-07;5.74454e-12
5;0.000343047;3.19144e-07;5.60856e-12
5;0.000376494;3.09203e-07;5.66185e-12
5;0.000413201;2.99552e-07;4.98678e-12
5;0.000453488;2.90185e-07;4.84623e-12
5;0.000497702;2.81094e-07;5.15216e-12
5;0.000546228;2.7227e-07;4.80279e-12
5;0.000599484;2.63709e-07;4.53063e-12
5;0.000657933;2.55403e-07;4.33543e-12
5;0.000722081;2.47344e-07;4.18412e-12
5;0.000792483;2.39527e-07;4.2365e-12
5;0.000869749;2.31945e-07;4.13996e-12
5;0.000954548;2.24591e-07;3.9127e-12
5;0.00104762;2.1746e-07;3.89452e-12
5;0.00114976;2.10547e-07;3.64828e-12
5;0.00126186;2.03843e-07;3.59102e-12
5;0.00138489;1.97343e-07;3.45633e-12
5;0.00151991;1.91042e-07;3.45162e-12
5;0.0016681;1.84933e-07;3.17052e-12
5;0.00183074;1.79013e-07;3.34057e-12
5;0.00200923;1.73275e-07;3.19669e-12
5;0.00220513;1.67715e-07;3.14886e-12
5;0.00242013;1.62326e-07;2.98537e-12
5;0.00265609;1.57105e-07;2.68192e-12
5;0.00291505;1.52046e-07;2.5975e-12
5;0.00319927;1.47145e-07;2.52249e-12
5;0.00351119;1.42397e-07;2.6172e-12
5;0.00385353;1.37797e-07;2.60498e-12
5;0.00422924;1.33342e-07;2.43972e-12
5;0.00464159;1.29026e-07;2.29703e-12
5;0.00509414;1.24846e-07;2.1997e-12
5;0.00559081;1.20799e-07;2.15255e-12
5;0.00613591;1.16879e-07;2.08179e-12
5;0.00673415;1.13082e-07;1.95881e-12
5;0.00739072;1.09406e-07;1.85901e-12
5;0.00811131;1.05847e-07;1.79172e-12
5;0.00890215;1.02401e-07;1.83432e-12
5;0.0097701;9.90647e-08;1.63234e-12
5;0.0107227;9.58349e-08;1.56575e-12
5;0.0117681;9.27081e-08;1.53508e-12
5;0.0129155;8.96813e-08;1.48975e-12
5;0.0141747;8.67514e-08;1.44262e-12
5;0.0155568;8.39156e-08;1.43139e-12
5;0.0170735;8.11705e-08;1.42697e-12
5;0.0187382;7.85137e-08;1.39638e-12
5;0.0205651;7.59423e-08;1.36248e-12
5;0.0225702;7.34538e-08;1.31333e-12
5;0.0247708;7.10455e-08;1.25104e-12
5;0.0271859;6.8715e-08;1.19883e-12
5;0.0298365;6.64597e-08;1.13902e-12
5;0.0327455;6.42774e-08;1.10248e-12
5;0.0359381;6.21656e-08;1.0391e-12
5;0.0394421;6.01223e-08;1.0019e-12
5;0.0432876;5.81453e-08;9.93199e-13
5;0.0475081;5.62325e-08;9.7106e-13
5;0.0521401;5.43818e-08;8.96883e-13
5;0.0572237;5.25913e-08;8.80724e-13
5;0.0628029;5.0859e-08;8.3207e-13
5;0.0689261;4.91832e-08;8.04875e-13
5;0.0756463;4.75619e-08;7.81148e-13
5;0.0830218;4.59936e-08;7.58895e-13
5;0.0911163;4.44765e-08;7.37893e-13
5;0.1;4.30089e-08;7.1302e-13
8;1e-05;8.14694e-07;1.44501e-11
8;1.0975e-05;7.9172e-07;1.42986e-11
8;1.2045e-05;7.69302e-07;1.39338e-11
8;1.32194e-05;7.47431e-07;1.34049e-11
8;1.45083e-05;7.26097e-07;1.38673e-11
8;1.59228e-05;7.0529e-07;1.20067e-11
8;1.74753e-05;6.85002e-07;1.18015e-11
8;1.91791e-05;6.65223e-07;1.18964e-11
8;2.1049e-05;6.45944e-07;1.18038e-11
8;2.31013e-05;6.27158e-07;1.12568e-11
8;2.53536e-05;6.08854e-07;1.07763e-11
8;2.78256e-05;5.91022e-07;1.06431e-11
8;3.05386e-05;5.73656e-07;1.0403e-11
8;3.3516e-05;5.56742e-07;1.0345e-11
8;3.67838e-05;5.40274e-07;9.59486e-12
8;4.03702e-05;5.2424e-07;9.54229e-12
8;4.43062e-05;5.08636e-07;9.35409e-12
8;4.8626e-05;4.93449e-07;9.0448e-12
8;5.3367e-05;4.78673e-07;8.70191e-12
8;5.85702e-05;4.64296e-07;8.64182e-12
8;6.42807e-05;4.50313e-07;8.87846e-12
8;7.0548e-05;4.36712e-07;7.63835e-12
8;7.74264e-05;4.23486e-07;7.41938e-12
8;8.49753e-05;4.10627e-07;7.22064e-12
8;9.32603e-05;3.98126e-07;7.04822e-12
8;0.000102353;3.85975e-07;6.87271e-12
8;0.000112332;3.74165e-07;6.68555e-12
8;0.000123285;3.6269e-07;6.49475e-12
8;0.000135305;3.5154e-07;6.29778e-12
8;0.000148497;3.40708e-07;6.09775e-12
8;0.000162975;3.30186e-07;5.89507e-12
8;0.000178865;3.19967e-07;5.69183e-12
8;0.000196304;3.10043e-07;5.49344e-12
8;0.000215443;3.00407e-07;5.30617e-12
8;0.000236449;2.91052e-07;5.12922e-12
8;0.000259502;2.8197e-07;4.96127e-12
8;0.000284804;2.73154e-07;4.80212e-12
8;0.000312572;2.64598e-07;4.64684e-12
8;0.000343047;2.56295e-07;4.49733e-12
8;0.000376494;2.48238e-07;4.35748e-12
8;0.000413201;2.40421e-07;4.31183e-12
8;0.000453488;2.32838e-07;4.58912e-12
8;0.000497702;2.25481e-07;4.47452e-12
8;0.000546228;2.18345e-07;4.27512e-12
8;0.000599484;2.11425e-07;4.07344e-12
8;0.000657933;2.04714e-07;3.88857e-12
8;0.000722081;1.98206e-07;3.72416e-12
8;0.000792483;1.91896e-07;3.57799e-12
8;0.000869749;1.85779e-07;3.44483e-12
8;0.000954548;1.79848e-07;3.31402e-12
8;0.00104762;1.741e-07;3.19163e-12
8;0.00114976;1.68528e-07;3.08234e-12
8;0.00126186;1.63127e-07;2.98344e-12
8;0.00138489;1.57894e-07;2.88654e-12
8;0.00151991;1.52822e-07;2.79155e-12
8;0.0016681;1.47907e-07;2.69721e-12
8;0.00183074;1.43146e-07;2.60259e-12
8;0.00200923;1.38533e-07;2.51016e-12
8;0.00220513;1.34063e-07;2.44048e-12
8;0.00242013;1.29734e-07;2.37904e-12
8;0.00265609;1.2554e-07;2.33271e-12
8;0.00291505;1.21478e-07;2.2928e-12
8;0.00319927;1.17543e-07;2.24859e-12
8;0.00351119;1.13733e-07;2.1883e-12
8;0.00385353;1.10043e-07;2.0946e-12
8;0.00422924;1.0647e-07;1.85676e-12
8;0.00464159;1.03009e-07;1.8299e-12
8;0.00509414;9.96589e-08;1.83014e-12
8;0.00559081;9.64151e-08;1.74473e-12
8;0.00613591;9.32744e-08;1.6854e-12
8;0.00673415;9.02339e-08;1.6392e-12
8;0.00739072;8.72904e-08;1.59053e-12
8;0.00811131;8.4441e-08;1.53425e-12
8;0.00890215;8.16828e-08;1.46798e-12
8;0.0097701;7.9013e-08;1.39527e-12
8;0.0107227;7.64288e-08;1.33143e-12
